Taxa	GO	Description	cooccurrence_Non-HIV	cooccurrence_Pre-HIV	cor_Non-HIV	cor_Pre-HIV	diff_cor	p	sign	Ontology	Definition
s__Vescimonas_coprocola	GO:0006750	glutathione biosynthetic process	150	82	0.055	-0.332	0.387	0.0040849895172923	Pre-HIV-	BP	The chemical reactions and pathways resulting in the formation of glutathione, the tripeptide glutamylcysteinylglycine, which acts as a coenzyme for some enzymes and as an antioxidant in the protection of sulfhydryl groups in enzymes and other proteins.
s__Coprococcus_catus	GO:0052689	carboxylic ester hydrolase activity	151	81	0.036	-0.35	0.386	0.00408626902854126	Pre-HIV-	MF	Catalysis of the hydrolysis of a carboxylic ester bond.
s__Mediterraneibacter_glycyrrhizinilyticus	GO:0008821	crossover junction endodeoxyribonuclease activity	151	82	-0.355	0.028	0.384	0.0040865747078096	Non-HIV-	MF	Catalysis of the endonucleolytic cleavage at a junction such as a reciprocal single-stranded crossover between two homologous DNA duplexes (Holliday junction).
s__Waltera_sp._CLA_AA_H273	GO:0006082	organic acid metabolic process	146	80	0.054	-0.338	0.392	0.004090905362927	Pre-HIV-	BP	The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage.
s__Bacteroides_caccae	GO:0050567	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	145	76	-0.001	-0.392	0.391	0.00409116228866702	Pre-HIV-	MF	Catalysis of the reaction: L-glutamine + glutamyl-tRNA(Gln) + ATP = L-glutamate + glutaminyl-tRNA(Gln) + phosphate + ADP.
s__Bacteroides_caccae	GO:0030956	glutamyl-tRNA(Gln) amidotransferase complex	145	76	-0.001	-0.392	0.391	0.00409116228866946	Pre-HIV-	CC	A protein complex that possesses glutamyl-tRNA(Gln) amidotransferase activity, and therefore creates Gln-tRNA by amidating Glu-tRNA; usually composed of 3 subunits: A, B, and C. Note that the C subunit may not be required in all organisms.
s__Prevotella_sp._885	GO:0006631	fatty acid metabolic process	110	69	-0.03	-0.446	0.416	0.00409122954098629	Pre-HIV-	BP	The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis.
s__Anaerotardibacter_sp._CLA_AA_M13	GO:0006857	oligopeptide transport	134	72	-0.139	-0.513	0.374	0.00409732231216942	Pre-HIV-	BP	The directed movement of oligopeptides into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Oligopeptides are molecules that contain a small number (2 to 20) of amino-acid residues connected by peptide linkages.
s__Dorea_sp._AM58_8	GO:0044205	'de novo' UMP biosynthetic process	151	82	0.042	0.415	0.373	0.00409753869542118	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of UMP, uridine monophosphate, starting with the synthesis of (S)-dihydroorotate from bicarbonate; UMP biosynthesis may either occur via reduction by quinone, NAD(+) or oxygen.
s__Roseburia_hominis	GO:0004750	ribulose-phosphate 3-epimerase activity	151	82	-0.042	-0.415	0.373	0.00409807283647345	Pre-HIV-	MF	Catalysis of the reaction: D-ribulose 5-phosphate = D-xylulose 5-phosphate.
s__Mediterraneibacter_butyricigenes	GO:0009316	3-isopropylmalate dehydratase complex	149	79	0.019	-0.368	0.388	0.00410347368068442	Pre-HIV-	CC	A heterodimeric enzyme complex composed of subunits leuC and leuD. Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate.
s__Eggerthella_lenta	GO:0015977	carbon fixation	149	81	0.051	0.425	0.374	0.00410648313595163	Pre-HIV+	BP	A metabolic process in which carbon (usually derived from carbon dioxide) is incorporated into organic compounds (usually carbohydrates).
s__Simiaoa_sunii	GO:0004536	deoxyribonuclease activity	148	81	-0.05	0.339	0.389	0.00410857822891741	Pre-HIV+	MF	Catalysis of the hydrolysis of ester linkages within deoxyribonucleic acid.
s__Dorea_longicatena	GO:0006094	gluconeogenesis	151	82	-0.059	-0.429	0.37	0.00410934225055759	Pre-HIV-	BP	The formation of glucose from noncarbohydrate precursors, such as pyruvate, amino acids and glycerol.
s__Phocea_massiliensis	GO:0004749	ribose phosphate diphosphokinase activity	149	82	0.044	-0.342	0.386	0.00411120275450916	Pre-HIV-	MF	Catalysis of the reaction: D-ribose 5-phosphate + ATP = 5-phospho-alpha-D-ribose 1-diphosphate + AMP + 2 H(+).
s__Blautia_obeum	GO:0015977	carbon fixation	149	81	-0.011	0.372	0.384	0.00411364178189322	Pre-HIV+	BP	A metabolic process in which carbon (usually derived from carbon dioxide) is incorporated into organic compounds (usually carbohydrates).
s__Roseburia_porci	GO:0035596	methylthiotransferase activity	150	81	-0.056	0.333	0.389	0.00411703459741175	Pre-HIV+	MF	Catalysis of the addition of a methylthioether group (-SCH3) to a nucleic acid or protein acceptor.
s__Prevotella_stercorea	GO:0016884	carbon-nitrogen ligase activity, with glutamine as amido-N-donor	133	73	-0.236	-0.582	0.346	0.00411894853469708	Pre-HIV-	MF	Catalysis of the transfer of the amide nitrogen of glutamine to a variety of substrates. GATases catalyze two separate reactions at two active sites, which are located either on a single polypeptide chain or on different subunits. In the glutaminase reaction, glutamine is hydrolyzed to glutamate and ammonia, which is added to an acceptor substrate in the synthase reaction.
s__Bacteroides_xylanisolvens	GO:0006354	DNA-templated transcription, elongation	146	75	0.283	0.608	0.325	0.00412096942426188	Pre-HIV+	BP	The extension of an RNA molecule after transcription initiation and promoter clearance at a DNA-dependent RNA polymerase promoter by the addition of ribonucleotides catalyzed by an RNA polymerase.
s__Oscillibacter_sp._ER4	GO:0004357	glutamate-cysteine ligase activity	147	82	-0.015	-0.394	0.379	0.00413730384202404	Pre-HIV-	MF	Catalysis of the reaction: L-cysteine + L-glutamate + ATP = L-gamma-glutamyl-L-cysteine + ADP + 2 H(+) + phosphate.
s__Holdemanella_biformis	GO:0004072	aspartate kinase activity	150	80	0.323	-0.068	0.391	0.00414169085807292	Non-HIV+	MF	Catalysis of the reaction: L-aspartate + ATP = 4-phospho-L-aspartate + ADP + H(+).
s__Phascolarctobacterium_succinatutens	GO:0046873	metal ion transmembrane transporter activity	122	69	-0.197	-0.565	0.368	0.00414676222202015	Pre-HIV-	MF	Enables the transfer of metal ions from one side of a membrane to the other.
s__Romboutsia_timonensis	GO:0004356	glutamate-ammonia ligase activity	132	73	-0.074	0.337	0.412	0.00415199878666361	Pre-HIV+	MF	Catalysis of the reaction: L-glutamate + ATP + NH(3) = L-glutamine + ADP + 2 H(+) + phosphate.
s__Bacteroides_fragilis	GO:0006306	DNA methylation	151	80	0.132	0.49	0.358	0.00415206354003583	Pre-HIV+	BP	The covalent transfer of a methyl group to either N-6 of adenine or C-5 or N-4 of cytosine.
s__Bacteroides_fragilis	GO:0008170	N-methyltransferase activity	151	80	0.132	0.49	0.358	0.00415206354004161	Pre-HIV+	MF	Catalysis of the transfer of a methyl group to the nitrogen atom of an acceptor molecule.
s__Phascolarctobacterium_sp._Marseille_Q4147	GO:0008890	glycine C-acetyltransferase activity	119	68	0.086	0.485	0.4	0.00415226268571134	Pre-HIV+	MF	Catalysis of the reaction: acetyl-CoA + glycine = L-2-amino-3-oxobutanoate + CoA + H(+).
s__Blautia_obeum	GO:0000160	phosphorelay signal transduction system	151	82	0.522	0.178	0.344	0.00415871244843946	Non-HIV+	BP	A conserved series of molecular signals found in prokaryotes and eukaryotes; involves autophosphorylation of a histidine kinase and the transfer of the phosphate group to an aspartate that then acts as a phospho-donor to response regulator proteins.
s__Oscillibacter_sp._ER4	GO:0008984	protein-glutamate methylesterase activity	147	78	0.021	0.404	0.384	0.00416050256645817	Pre-HIV+	MF	Catalysis of the reaction: protein L-glutamate O(5)-methyl ester + H2O = protein L-glutamate + methanol.
s__Bacteroides_thetaiotaomicron	GO:0051607	defense response to virus	149	77	-0.085	0.313	0.398	0.00416382103611013	Pre-HIV+	BP	Reactions triggered in response to the presence of a virus that act to protect the cell or organism.
s__Vescimonas_coprocola	GO:0015740	C4-dicarboxylate transport	147	81	-0.014	0.371	0.384	0.00416919093215995	Pre-HIV+	BP	The directed movement of a C4-dicarboxylate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. A C4-dicarboxylate is the anion of a dicarboxylic acid that contains four carbon atoms.
s__Vescimonas_coprocola	GO:0015556	C4-dicarboxylate transmembrane transporter activity	147	81	-0.014	0.371	0.384	0.00416919093216328	Pre-HIV+	MF	Enables the transfer of C4-dicarboxylate from one side of a membrane to the other.
s__Dorea_sp._AF36_15AT	GO:0004045	aminoacyl-tRNA hydrolase activity	150	80	-0.056	0.333	0.39	0.00417047074062293	Pre-HIV+	MF	Catalysis of the reaction: N-substituted aminoacyl-tRNA + H2O = N-substituted amino acid + tRNA.
s__Ruminococcus_sp._M6_2020	GO:0004824	lysine-tRNA ligase activity	150	82	0.364	-0.019	0.382	0.00417544350491172	Non-HIV+	MF	Catalysis of the reaction: ATP + L-lysine + tRNA(Lys) = AMP + diphosphate + L-lysyl-tRNA(Lys).
s__Ruminococcus_sp._M6_2020	GO:0006430	lysyl-tRNA aminoacylation	150	82	0.364	-0.019	0.382	0.00417544350491394	Non-HIV+	BP	The process of coupling lysine to lysyl-tRNA, catalyzed by lysyl-tRNA synthetase. The lysyl-tRNA synthetase is a  class-II synthetase. The activated amino acid is transferred to the 3'-OH group of a lysine-accetping tRNA.
s__Coprococcus_eutactus	GO:0004848	ureidoglycolate hydrolase activity	151	82	0.021	-0.361	0.382	0.00417669925014241	Pre-HIV-	MF	Catalysis of the reaction: (S)-ureidoglycolate + H(2)O + 2 H(+) = CO(2) + glyoxylate + 2 NH(4)(+).
s__Escherichia_coli	GO:0070403	NAD+ binding	150	80	-0.065	0.326	0.391	0.00417710590407339	Pre-HIV+	MF	Interacting selectively and non-covalently with the oxidized form, NAD, of nicotinamide adenine dinucleotide, a coenzyme involved in many redox and biosynthetic reactions.
s__Simiaoa_sunii	GO:0002098	tRNA wobble uridine modification	148	81	-0.023	0.362	0.385	0.00417895050636274	Pre-HIV+	BP	The process in which a uridine in position 34 of a tRNA is post-transcriptionally modified.
s__Mediterraneibacter_faecis	GO:0009678	hydrogen-translocating pyrophosphatase activity	151	82	0.062	-0.325	0.387	0.00418299101476594	Pre-HIV-	MF	Catalysis of the hydrolysis of pyrophosphate, which generates a proton motive force.
s__Vescimonas_fastidiosa	GO:0006760	folic acid-containing compound metabolic process	146	82	-0.266	-0.588	0.322	0.00418300585533982	Pre-HIV-	BP	The chemical reactions and pathways involving a folic acid-containing compound, i.e. any of a group of heterocyclic compounds based on the pteroic acid skeleton conjugated with one or more L-glutamic acid or L-glutamate units.
s__Mediterraneibacter_faecis	GO:1901135	carbohydrate derivative metabolic process	151	82	0.219	0.552	0.333	0.00418688042205106	Pre-HIV+	BP	The chemical reactions and pathways involving carbohydrate derivative.
s__Dorea_ammoniilytica	GO:0140673	none	150	80	-0.138	-0.494	0.356	0.00418719108332666	Pre-HIV-	none	none
s__Dorea_sp._AM58_8	GO:0004413	homoserine kinase activity	151	82	-0.039	0.345	0.384	0.00419053482161291	Pre-HIV+	MF	Catalysis of the reaction: L-homoserine + ATP = O-phospho-L-homoserine + ADP + 2 H(+).
s__Parabacteroides_merdae	GO:0071522	ureidoglycine aminohydrolase activity	142	79	-0.436	-0.059	0.377	0.00419678310317373	Non-HIV-	MF	Catalysis of the reaction: ureidoglycine + H2O = S-ureidoglycolate + NH3.
s__Vescimonas_fastidiosa	GO:0022872	protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity	146	82	-0.281	-0.598	0.317	0.00420912243882765	Pre-HIV-	MF	Catalysis of the PEP-dependent, phosphoryl transfer-driven transport of substances across a membrane. The transport happens by catalysis of the reaction: protein N-phosphohistidine + mannitol(out) = protein histidine + mannitol phosphate(in). This differs from primary and secondary active transport in that the solute is modified during transport.
s__Phocaeicola_vulgatus	GO:0016853	isomerase activity	150	82	-0.003	0.377	0.38	0.00420929367620393	Pre-HIV+	MF	Catalysis of the geometric or structural changes within one molecule. Isomerase is the systematic name for any enzyme of EC class 5.
s__Phascolarctobacterium_sp._Marseille_Q4147	GO:0004014	adenosylmethionine decarboxylase activity	119	68	0.023	0.435	0.412	0.00421070377391652	Pre-HIV+	MF	Catalysis of the reaction: S-adenosyl-L-methionine + H(+) = S-adenosylmethioninamine + CO(2).
s__Dorea_sp._AF36_15AT	GO:0006633	fatty acid biosynthetic process	150	80	0.171	0.519	0.348	0.00421452851073156	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes.
s__Blautia_sp._MSK_20_85	GO:0034258	nicotinamide riboside transport	144	80	-0.032	-0.412	0.38	0.0042181825681098	Pre-HIV-	BP	The directed movement of a nicotinamide riboside, which is a pyridine-3-carboxamide covalently bonded to a ribose sugar, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.
s__Blautia_sp._MSK_20_85	GO:0034257	nicotinamide riboside transmembrane transporter activity	144	80	-0.032	-0.412	0.38	0.00421818256811113	Pre-HIV-	MF	Enables the transfer of nicotinamide riboside, which is a pyridine-3-carboxamide covalently bonded to a ribose sugar, from one side of a membrane to the other.
s__Eubacterium_ventriosum	GO:0015803	branched-chain amino acid transport	150	81	-0.335	0.053	0.387	0.00422578655037653	Non-HIV-	BP	The directed movement of branched-chain amino acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Branched-chain amino acids are amino acids with a branched carbon skeleton without rings.
s__Adlercreutzia_equolifaciens	GO:0046857	oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor	149	82	0.031	-0.353	0.384	0.00422948228377096	Pre-HIV-	MF	Catalysis of an oxidation-reduction (redox) reaction in which a nitrogenous group, excluding NH and NH2 groups, acts as a hydrogen or electron donor and reduces NAD or NADP.
s__Agathobaculum_sp._M2	GO:0003968	RNA-directed 5'-3' RNA polymerase activity	134	69	-0.078	0.34	0.418	0.00423199789408346	Pre-HIV+	MF	Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1); uses an RNA template, i.e. the catalysis of RNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time.
s__Simiaoa_sunii	GO:0008270	zinc ion binding	148	81	-0.306	-0.615	0.31	0.00423254189005706	Pre-HIV-	MF	Interacting selectively and non-covalently with zinc (Zn) ions.
s__Waltera_sp._CLA_AA_H273	GO:0047355	CDP-glycerol glycerophosphotransferase activity	146	80	-0.064	-0.437	0.373	0.00423267711846953	Pre-HIV-	MF	Catalysis of the reaction: glycerophosphate(n) + CDP-glycerol = glycerophosphate(n+1) + CMP.
s__Oscillibacter_sp._MSJ_31	GO:0004751	ribose-5-phosphate isomerase activity	149	81	-0.037	-0.412	0.375	0.0042336486897856	Pre-HIV-	MF	Catalysis of the reaction: D-ribose 5-phosphate = D-ribulose 5-phosphate.
s__Oscillibacter_sp._MSJ_31	GO:0009052	pentose-phosphate shunt, non-oxidative branch	149	81	-0.037	-0.412	0.375	0.00423364868979026	Pre-HIV-	BP	The branch of the pentose-phosphate shunt which does not involve oxidation reactions. It comprises a series of sugar phosphate interconversions, starting with ribulose 5-P and producing fructose 6-P and glyceraldehyde 3-P.
s__Vescimonas_fastidiosa	GO:0003959	NADPH dehydrogenase activity	132	75	-0.015	-0.41	0.395	0.00423393693744001	Pre-HIV-	MF	Catalysis of the reaction: NADPH + H+ + acceptor = NADP+ + reduced acceptor.
s__Eubacterium_coprostanoligenes	GO:0042026	protein refolding	141	79	0.012	-0.377	0.389	0.00423599508234496	Pre-HIV-	BP	The process carried out by a cell that restores the biological activity of an unfolded or misfolded protein, using helper proteins such as chaperones.
s__Intestinibacter_bartlettii	GO:0008961	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity	138	73	0.081	-0.328	0.408	0.00424694529275538	Pre-HIV-	MF	Catalysis of the transfer of the diacylglyceryl group from phosphatidylglycerol to the sulfhydryl group of the prospective N-terminal cysteine residue in an unmodified prolipoprotein.
s__Schaalia_odontolytica	GO:0006796	phosphate-containing compound metabolic process	139	77	-0.338	0.061	0.399	0.00425049130696897	Non-HIV-	BP	The chemical reactions and pathways involving the phosphate group, the anion or salt of any phosphoric acid.
s__Blautia_glucerasea	GO:0046857	oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor	151	82	-0.01	-0.387	0.377	0.00425067080238239	Pre-HIV-	MF	Catalysis of an oxidation-reduction (redox) reaction in which a nitrogenous group, excluding NH and NH2 groups, acts as a hydrogen or electron donor and reduces NAD or NADP.
s__Blautia_sp._Marseille_P3087	GO:0008784	alanine racemase activity	150	82	0.02	-0.362	0.382	0.00425268030176329	Pre-HIV-	MF	Catalysis of the reaction: L-alanine = D-alanine.
s__Blautia_sp._Marseille_P3087	GO:0006522	alanine metabolic process	150	82	0.02	-0.362	0.382	0.00425268030176396	Pre-HIV-	BP	The chemical reactions and pathways involving alanine, 2-aminopropanoic acid.
s__Dorea_sp._AM58_8	GO:0006541	glutamine metabolic process	151	82	-0.04	0.343	0.384	0.00425325727411319	Pre-HIV+	BP	The chemical reactions and pathways involving glutamine, 2-amino-4-carbamoylbutanoic acid.
s__Collinsella_aerofaciens	GO:0015233	pantothenate transmembrane transporter activity	151	82	-0.053	0.332	0.385	0.00425613440858386	Pre-HIV+	MF	Enables the directed movement of pantothenate across a membrane. Pantothenate is the anion of pantothenic acid, the amide of beta-alanine and pantoic acid; it is a B complex vitamin that is a constituent of coenzyme A and is distributed ubiquitously in foods.
s__Collinsella_aerofaciens	GO:0015887	pantothenate transmembrane transport	151	82	-0.053	0.332	0.385	0.00425613440858741	Pre-HIV+	BP	The process in which pantothenate is transported across a membrane. Pantothenate is the anion of pantothenic acid, the amide of beta-alanine and pantoic acid; it is a B complex vitamin that is a constituent of coenzyme A and is distributed ubiquitously in foods.
s__Olsenella_uli	GO:0015419	ATPase-coupled sulfate transmembrane transporter activity	143	80	-0.476	-0.111	0.364	0.00426549525109032	Non-HIV-	MF	Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + sulfate(out) = ADP + phosphate + sulfate(in).
s__Negativibacillus_massiliensis	GO:0008829	dCTP deaminase activity	136	76	-0.001	-0.394	0.394	0.0042663765228832	Pre-HIV-	MF	Catalysis of the reaction: dCTP + H2O = dUTP + NH3.
s__Blautia_glucerasea	GO:0033739	preQ1 synthase activity	151	82	0.024	-0.358	0.382	0.00426691412534708	Pre-HIV-	MF	Catalysis of the reaction: 7-aminomethyl-7-deazaguanine + 2 NADP(+) = 7-cyano-7-deazaguanine + 3 H(+) + 2 NADPH.
s__Dorea_ammoniilytica	GO:0005737	cytoplasm	150	80	0.077	0.445	0.369	0.00427205763191907	Pre-HIV+	CC	All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.
s__Clostridium_sp._BIOML_A1	GO:0015572	N-acetylglucosamine transmembrane transporter activity	128	67	0.011	-0.404	0.415	0.00427228720065087	Pre-HIV-	MF	Enables the transfer of N-acetylglucosamine from one side of a membrane to the other. The D isomer of N-acetylglucosamine is a common structural unit of glycoproteins in plants, bacteria and animals; it is often the terminal sugar of an oligosaccharide group of a glycoprotein.
s__Clostridium_sp._BIOML_A1	GO:0019866	organelle inner membrane	128	67	0.011	-0.404	0.415	0.00427228720065131	Pre-HIV-	CC	The inner, i.e. lumen-facing, lipid bilayer of an organelle envelope; usually highly selective to most ions and metabolites.
s__Dorea_sp._AF36_15AT	GO:0043365	[formate-C-acetyltransferase]-activating enzyme activity	150	80	0.111	0.473	0.362	0.00427356281978652	Pre-HIV+	MF	Catalysis of the reaction: S-adenosyl-L-methionine + dihydroflavodoxin + [formate C-acetyltransferase]-glycine = 5'-deoxyadenosine + L-methionine + flavodoxin semiquinone + [formate C-acetyltransferase]-glycin-2-yl radical.
s__Ruminococcus_callidus	GO:0004044	amidophosphoribosyltransferase activity	148	82	0.072	-0.316	0.388	0.00427848753431603	Pre-HIV-	MF	Catalysis of the reaction: 5-phospho-beta-D-ribosylamine + L-glutamate + diphosphate = 5-phospho-alpha-D-ribose 1-diphosphate + L-glutamine + H(2)O.
s__Intestinimonas_butyriciproducens	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	151	82	0.367	-0.013	0.38	0.00427961772944485	Non-HIV+	MF	Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1). Utilizes a DNA template, i.e. the catalysis of DNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain 'de novo'.
s__Qingrenia_yutianensis	GO:0018339	peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid	145	78	0.008	0.393	0.385	0.0042861416336073	Pre-HIV+	BP	The modification of peptidyl-aspartic acid to form peptidyl-L-beta-methylthioaspartic acid, typical of bacterial ribosomal protein S12.
s__Senegalimassilia_anaerobia	GO:0019281	L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine	146	81	0.049	0.423	0.374	0.00428813126349081	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of L-methionine from other compounds, including homoserine, via the intermediates O-succinyl-L-homoserine and cystathionine.
s__Senegalimassilia_anaerobia	GO:0008899	homoserine O-succinyltransferase activity	146	81	0.049	0.423	0.374	0.00428813126349104	Pre-HIV+	MF	Catalysis of the reaction: L-homoserine + succinyl-CoA = O-succinyl-L-homoserine + CoA.
s__Megasphaera_elsdenii	GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	122	71	0.097	-0.325	0.422	0.00428830973171346	Pre-HIV-	MF	Catalysis of the reaction: 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine + ATP = (2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl diphosphate + AMP + 2 H(+).
s__Faecalibacillus_sp._MSK20_93	GO:0009089	lysine biosynthetic process via diaminopimelate	111	52	0.177	-0.303	0.48	0.00429679571208519	Pre-HIV-	BP	The chemical reactions and pathways resulting in the formation of lysine, via the intermediate diaminopimelate.
s__Dysosmobacter_sp._BX15	GO:0008609	alkylglycerone-phosphate synthase activity	141	77	0.291	0.612	0.32	0.00429810217175652	Pre-HIV+	MF	Catalysis of the reaction: 1-acyl-glycerone 3-phosphate + a long-chain alcohol = 1-alkyl-glycerone 3-phosphate + a long-chain acid anion.
s__Senegalimassilia_faecalis	GO:0016743	carboxyl- or carbamoyltransferase activity	139	81	-0.078	0.316	0.394	0.00430011243170592	Pre-HIV+	MF	Catalysis of the transfer of a carboxyl- or carbamoyl group from one compound (donor) to another (acceptor).
s__Intestinimonas_sp._MSJ_38	GO:0008173	RNA methyltransferase activity	149	82	-0.103	-0.464	0.361	0.00430035875762114	Pre-HIV-	MF	Catalysis of the transfer of a methyl group from a donor to a nucleoside residue in an RNA molecule.
s__Oscillibacter_sp._ER4	GO:0003941	L-serine ammonia-lyase activity	147	82	-0.137	-0.491	0.354	0.00430835372678939	Pre-HIV-	MF	Catalysis of the reaction: L-serine = pyruvate + NH3.
s__Senegalimassilia_anaerobia	GO:0016987	bacterial sigma factor activity	146	81	-0.078	-0.446	0.368	0.00430972195095691	Pre-HIV-	MF	A sigma factor is the promoter specificity subunit of eubacterial-type multisubunit RNA polymerases, those whose core subunit composition is often described as alpha(2)-beta-beta-prime. (This type of multisubunit RNA polymerase complex is known to be found in eubacteria and plant plastids). Although sigma does not bind DNA on its own, when combined with the core to form the holoenzyme, this binds specifically to promoter sequences, with the sigma factor making sequence specific contacts with the promoter elements. The sigma subunit is released from the elongating form of the polymerase and is thus free to act catalytically for multiple RNA polymerase core enzymes.
s__Blautia_obeum	GO:0004470	malic enzyme activity	151	82	0.074	-0.313	0.387	0.0043101129775398	Pre-HIV-	MF	Catalysis of the oxidative decarboxylation of malate with the concomitant production of pyruvate.
s__Evtepia_gabavorous	GO:0033567	DNA replication, Okazaki fragment processing	147	81	-0.064	0.325	0.389	0.00431122233854464	Pre-HIV+	BP	The DNA metabolic process, occurring during lagging strand synthesis, by which RNA primers are removed from Okazaki fragments, the resulting gaps filled by DNA polymerization, and the ends ligated to form a continuous strand.
s__Evtepia_gabavorous	GO:0017108	5'-flap endonuclease activity	147	81	-0.064	0.325	0.389	0.00431122233854508	Pre-HIV+	MF	Catalysis of the cleavage of a 5' flap structure in DNA, but not other DNA structures; processes the 5' ends of Okazaki fragments in lagging strand DNA synthesis.
s__Roseburia_inulinivorans	GO:0047850	diaminopimelate dehydrogenase activity	150	82	-0.073	0.314	0.387	0.00431173440667387	Pre-HIV+	MF	Catalysis of the reaction: meso-2,6-diaminopimelate + H(2)O + NADP(+) = L-2-amino-6-oxopimelate + H(+) + NADPH + NH(4)(+).
s__Phascolarctobacterium_succinatutens	GO:0070009	serine-type aminopeptidase activity	118	66	0.157	0.541	0.384	0.00431510689188852	Pre-HIV+	MF	Catalysis of the hydrolysis of a peptide bond not more than three residues from the N-terminus of a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine).
s__Ruminococcus_torques	GO:0004592	pantoate-beta-alanine ligase activity	151	82	0.309	-0.078	0.387	0.0043156871340746	Non-HIV+	MF	Catalysis of the reaction: ATP + (R)-pantoate + beta-alanine = AMP + diphosphate + (R)-pantothenate.
s__Escherichia_coli	GO:0006044	N-acetylglucosamine metabolic process	150	80	0.073	-0.317	0.39	0.00432177786443333	Pre-HIV-	BP	The chemical reactions and pathways involving N-acetylglucosamine. The D isomer is a common structural unit of glycoproteins in plants, bacteria and animals; it is often the terminal sugar of an oligosaccharide group of a glycoprotein.
s__Allisonella_histaminiformans	GO:0008830	dTDP-4-dehydrorhamnose 3,5-epimerase activity	94	58	0.023	0.471	0.447	0.00432276099777651	Pre-HIV+	MF	Catalysis of the reaction: dTDP-4-dehydro-6-deoxy-alpha-D-glucose = dTDP-4-dehydro-6-deoxy-L-mannose.
s__Suilimivivens_aceti	GO:0050661	NADP binding	150	82	-0.128	-0.483	0.355	0.00432610113877918	Pre-HIV-	MF	Interacting selectively and non-covalently with nicotinamide-adenine dinucleotide phosphate, a coenzyme involved in many redox and biosynthetic reactions; binding may be to either the oxidized form, NADP+, or the reduced form, NADPH.
s__Adlercreutzia_equolifaciens	GO:0015144	carbohydrate transmembrane transporter activity	147	79	0.058	-0.333	0.391	0.00432872646537485	Pre-HIV-	MF	Enables the transfer of carbohydrate from one side of a membrane to the other.
s__Blautia_glucerasea	GO:0008484	sulfuric ester hydrolase activity	151	82	-0.054	-0.423	0.369	0.00434203509225806	Pre-HIV-	MF	Catalysis of the reaction: RSO-R' + H2O = RSOOH + R'H. This reaction is the hydrolysis of any sulfuric ester bond, any ester formed from sulfuric acid, O=SO(OH)2.
s__Vescimonas_coprocola	GO:0019538	protein metabolic process	150	82	-0.02	-0.395	0.375	0.00434819459899938	Pre-HIV-	BP	The chemical reactions and pathways involving a protein. Includes protein modification.
s__Coprococcus_eutactus	GO:0043190	ATP-binding cassette (ABC) transporter complex	151	82	-0.036	-0.408	0.372	0.00435207237129687	Pre-HIV-	CC	A complex for the transport of metabolites into and out of the cell, typically comprised of four domains; two membrane-associated domains and two ATP-binding domains at the intracellular face of the membrane, that form a central pore through the plasma membrane. Each of the four core domains may be encoded as a separate polypeptide or the domains can be fused in any one of a number of ways into multidomain polypeptides. In Bacteria and Archaebacteria, ABC transporters also include substrate binding proteins to bind substrate external to the cytoplasm and deliver it to the transporter.
